Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
1;Directores y gerentes;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública y de las empresas definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados, o asesoran al respecto; elaboran leyes y reglamentos, actúan en nombre y representación de los gobiernos, vigilan la Interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o elaboran, aplican y coordinan la actividad de una empresa o de una organización, o de sus departamentos y servicios internos.";"Las tareas desempeñadas por lo común por los miembros del poder ejecutivo y de los cuerpos legislativos y por el personal directivo de la administración pública y de las empresas incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local y asesorar al respecto; elaborar leyes y reglamentos; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación; ejercer funciones similares por cuenta de un partido político, un sindicato u otra organización especializada; elaborar, aplicar y coordinar la política y la actividad de una empresa o de una organización o de sus departamentos y servicios internos. Además, pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas, directivas o administrativas que posean calificaciones científicas, técnicas o administrativas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de conocimientos científicos o técnicos específicos, deberá clasificarse el puesto de trabajo en cuestión bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas. legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste en decidir sobre la asignación de fondos para la investigación y el desarrollo, aplicando para ello conocimientos médicos, dicho puesto de trabajo debería pertenecer a este gran grupo.;
11;Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados o asesoran al respecto; elaboran, ratifican o modifican y derogan leyes y reglamentos, actúan en nombre y representación de los gobiernos; vigilan la interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o desempeñan tareas similares en representación de otras organizaciones especializadas.";"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local o asesorar al respecto y dirigir su aplicación; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación por los servicios u organismos oficiales o intergubernamentales; ejercer funciones similares por cuenta de un partido político, de un sindicato u otra organización especializada: realizar negociaciones en nombre de dichos organismos, de sus miembros o clientes. Sus tareas pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas o administrativas que posean calificaciones científicas, técnicas o profesionales pueden plantearse dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas, legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste, por ejemplo, en asignar a la investigación y al desarrollo fondos procedentes del presupuesto público, tomándose como base el conocimiento médico, dicho puesto de trabajo debería pertenecer a este gran grupo.;
112;Directores generales y gerentes generales;El personal directivo de la administración pública asesora al gobierno en los asuntos políticos, vigila la interpretación y aplicación de la política gubernamental y de la legislación, representa a su país en el extranjero, o cumple tareas similares en organizaciones inter-gubernamentales.;"Las tareas desempeñadas por lo común incluyen las siguientes: asesorar al gobierno nacional o al gobierno del Estado federado o de la provincia, región o colectividad local en asuntos políticos; vigilar la interpretación y aplicación de la política y la legislación; representar a su país en el extranjero y cumplir tareas similares en organizaciones intergubernamentales. Sus tareas pueden incluir la supervisión de otros trabajadores.";Los funcionarios públicos superiores que dirigen un establecimiento industrial, una empresa de servicios públicos, de transporte o de otra clase, perteneciente al gobierno o controlada por este último, o que desempeñan tareas y funciones semejantes a las que se clasifican en el subgrupo 122, Directores de departamentos de producción y operaciones, o 123, Otros directores de departamentos, se clasifican en los subgrupos principales 12, Directores de empresa, o 13, Gerentes de empresa, según corresponda.;
1120;Directores generales y gerentes generales;"El personal directivo de la administración pública asesora al gobierno en los asuntos políticos, vigila la interpretación y la aplicación de la política gubernamental y de la legislación por los departamentos y otros organismos públicos; actúa en nombre y representación del país en el extranjero o desempeña tareas similares en organizaciones intergubernamentales.";"a) asesorar en los asuntos políticos al gobierno nacional o al gobierno del Estado federado o de la provincia, región o colectividad local;

b) asesorar en la preparación de los presupuestos públicos, así como de las leyes, decretos y disposiciones reglamentarias, comprendidas las enmien- das;

c) vigilar la aplicación de la política gubernamental y de la legislación por los departamentos y organismos públicos;

d) representar a su país en el extranjero;

e) ejecutar tareas similares en organizaciones intergubernamentales;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Administrador, administración pública

Administrador, organización intergubernamental

Cónsul general

Embajador

Secretario general, administración pública"
12;Directores administradores y comerciales;Los directores de empresa definen y formulan la política de una empresa o de un organismo o de uno o varios de sus departamentos o servicios y dirigen y coordinan sus actividades.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política de la empresa u organismo; planificar, dirigir y coordinar las actividades de la empresa u organismo en su conjunto o de uno de sus departamentos o servicios. Sus tareas pueden incluir la supervisión de otros trabajadores.";"En algunos de los casos en que se exige a los trabajadores que ocupan cargos directivos que posean calificaciones profesionales, técnicas o prácticas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro subgrupo principal. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si las calificaciones y los conocimientos constituyen la base necesaria para el ejercicio de las funciones de dirección, el puesto de trabajo deberá clasificarse bajo el presente subgrupo principal. Por ejemplo, si las tareas principales consisten en diagnosticar y tratar enfermedades, el puesto de trabajo deberá clasificarse bajo el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si las tareas principales consisten en decidir sobre la asignación de fondos para la investigación y el desarrollo que habrán de invertirse en los proyectos de una empresa u organización, tomándose como base el conocimiento médico, a dicho puesto de trabajo se le debería clasificar en este subgrupo principal.

Los profesionales y técnicos que asesoren, en calidad de consultores, a las empresas y organizaciones sobre cuestiones de dirección general o especializada, o de funcionamiento, deberán clasificarse bajo los grandes grupos 2, Profesionales científicos e intelectuales, o 3, Técnicos y profesionales de nivel medio, según corresponda.";
121;Directores de administración y servicios;Los directores generales y gerentes generales de empresa dirigen empresas y organizaciones de otro tipo (excepto organizaciones especializadas), y con la colaboración de, por lo menos, otros dos directores formulan las políticas y planifican, dirigen y coordinan las actividades de dichas empresas y organizaciones, siguiendo la orientación impartida por un directorio u otro órgano directivo, ante quien son responsables de los resultados obtenidos y de las actividades realizadas.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política de la empresa u organismo; planificar, dirigir y coordinar su funcionamiento general con la asistencia de, por lo menos, otros dos directores, habitualmente siguiendo la orientación impartida por un directorio u otro órgano directivo; evaluar las operaciones y los resultados obtenidos e informar al respecto al directorio o al órgano directivo; representar a la organización en su trato con terceros, comprendidos el gobierno y otras autoridades. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
1211;Directores financieros;Los directores de departamentos financieros y administrativos planifican, dirigen y coordinan las operaciones financieras y la administración interna de la empresa u organización bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos;"a) planificar, dirigir y coordinar las operaciones financieras y la administración interna de la empresa u organización;

b) evaluar la situación financiera de la empresa u organización; preparar los presupuestos y controlar las operaciones financieras;

c) vigilar los gastos y asegurar la utilización racional de los recursos;

d) establecer y dirigir los procedimientos operativos y administrativos;

e) planificar y dirigir el trabajo diario;

f) controlar la selección, formación y rendimiento del personal;

g) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

h) desempeñar tareas afines;

i) supervisar a otros trabajadores";;"Director de departamento, administración

Director de departamento, finanzas"
1212;Directores de recursos humanos;Los directores de departamentos de personal y de relaciones laborales planifican, dirigen y coordinan todo lo relativo al personal y a las relaciones laborales de la empresa u organización bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos;"a) planificar, dirigir y coordinar a política de la empresa u organización en todo lo relativo al personal y a las relaciones laborales;

b) planificar y organizar los procedimientos destinados a la contratación, formación, promoción, fijación de la escala salarial y las negociaciones sobre salarios, comunicación y consulta a los trabajadores, y demás cuestiones relacionadas con el personal de la empresa u organización;

c) controlar, con la participación de las personas interesadas, los programas y actividades de seguridad y sanidad y otras cuestiones conexas;

d) vigilar los gastos y asegurar la utilización racional de los recursos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) planificar y dirigir el trabajo diario;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores";;"Director de departamento, personal

Director de departamento, relaciones laborales"
1213;Directores de políticas y planificación;"Este grupo primario abarca a los directores de departamentos de producción y operaciones no clasificados separadamente en el subgrupo 122: Directores de departamentos de producción y operaciones

Por ejemplo, habrá que clasificar en este grupo primario a los que, en una empresa, planifican, dirigen y coordinan las actividades relacionadas con operaciones de la administración pública y otras operaciones, servicios de enseñanza pública o privada, servicios de sanidad y de asistencia social, manifestaciones y servicios recreativos, culturales y deportivos, y las actividades de instituciones y organismos extraterritoriales";"a) planificar, dirigir y coordinar operaciones relacionadas con el servicio público, por ejemplo, sistemas de atribución de créditos o sistemas impositivos, aplicación de la reglamentación oficial en materia comercial así como la administración del servicio público y otras actividades similares;

b) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los asuntos exteriores, el orden público y la seguridad;

c) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los sistemas de seguridad social financiados por fondos del erario público;

d) planificar, dirigir y coordinar actividades de la enseñanza pública o privada;

e) planificar, dirigir y coordinar actividades relacionadas con los servicios de sanidad y de asistencia social;

f) planificar, dirigir y coordinar actividades relacionadas con manifestaciones y servicios recreativos, culturales y deportivos;

g) planificar, dirigir y coordinar actividades relacionadas con las operaciones de instituciones y organismos extraterritoriales;

h) desempeñar tareas afines;

i) supervisar a otros trabajadores";;"Decano

Director de departamento, producción y operaciones/actividades recreativas

Director de departamento, producción y operaciones/instituciones extraterritoriales

Director de departamento, producción y operaciones/servicios de sanidad

Director de estudios, escuela
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/servicios de sanidad - 1210

Director general, organización/instituciones extraterritoriales - 1210

Gerente, actividades recreativas - 1319

Gerente, establecimiento de enseñanza - 1319"
1219;Directores de administración y servicios no clasificados bajo otros epígrafes;Los directores de departamentos de producción y operaciones de empresas de intermediación y de servicios a las empresas planifican, dirigen y coordinan las actividades de una empresa consistentes en la prestación de servicios de intermediación financiera y otros servicios exteriores a las empresas bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios;"a) planificar, dirigir y coordinar las actividades de prestación de servicios a empresas tales como servicios de banca, seguro, gestión inmobiliaria, procesamiento de datos, estudio de mercados, contabilidad, arquitectura, ingeniería, limpieza de edificios, pericias y análisis técnicos, publicidad o embalaje de mercancías: b) asegurar la utilización racional de los recursos y el cumplimiento de los programas;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores";;"Director de departamento, producción y operaciones/servicios a las empresas
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/intermediación financiera - 1210

Director general, empresa/servicios a las empresas - 1210

Gerente, servicios a las empresas - 1317
   "
