id;ocupacion;descripcion;competencia;observacion;ocu_2;comp
1;Directores_y_gerentes;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública y de las empresas definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados, o asesoran al respecto; elaboran leyes y reglamentos, actúan en nombre y representación de los gobiernos, vigilan la Interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o elaboran, aplican y coordinan la actividad de una empresa o de una organización, o de sus departamentos y servicios internos.";"a) Las tareas desempeñadas por lo común por los miembros del poder ejecutivo y de los cuerpos legislativos y por el personal directivo de la administración pública y de las empresas incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local y asesorar al respecto; elaborar leyes y reglamentos; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación; ejercer funciones similares por cuenta de un partido político, un sindicato u otra organización especializada; elaborar, aplicar y coordinar la política y la actividad de una empresa o de una organización o de sus departamentos y servicios internos. Además, pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas, directivas o administrativas que posean calificaciones científicas, técnicas o administrativas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de conocimientos científicos o técnicos específicos, deberá clasificarse el puesto de trabajo en cuestión bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas. legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste en decidir sobre la asignación de fondos para la investigación y el desarrollo, aplicando para ello conocimientos médicos, dicho puesto de trabajo debería pertenecer a este gran grupo.;;['Definir_y_formular_la_política_del_gobierno_nacional_del_gobierno_del_estado_federado_o_de_la_provincia_región_o_colectividad_local_y_asesorar_al_respecto', 'Elaborar_leyes_y_reglamentos', 'Actuar_en_nombre_y_representación_del_gobierno', 'Vigilar_la_interpretación_y_aplicación_de_las_políticas_del_gobierno_y_de_la_legislación', 'Ejercer_funciones_similares_por_cuenta_de_un_partido_político_un_sindicato_u_otra_organización_especializada', 'Elaborar_aplicar_y_coordinar_la_política_y_la_actividad_de_una_empresa_o_de_una_organización_o_de_sus_departamentos_y_servicios_internos._además_pueden_incluir_la_supervisión_de_otros_trabajadores.']
2;Profesionales_científicos_e_intelectuales;"Los profesionales científicos e intelectuales se dedican a una de las tres actividades siguientes o a cualquier combinación de éstas: ampliar el acervo de conocimientos científicos o intelectuales; aplicar conceptos, teorías, métodos o técnicas científicos o artísticos, o enseñar sistemáticamente lo que saben en sus respectivos campos. La mayoría de las ocupaciones de este gran grupo requieren competencias de cuarto grado, tal como las define la CIUO.";"a) Las tareas desempeñadas por lo común por los profesionales científicos e Intelectuales incluyen las siguientes: análisis e investigación; formulación y desarrollo de conceptos, teorías y métodos, y asesoramiento o aplicación de los conocimientos en materia de ciencias exactas, incluidas las matemáticas, la arquitectura, la ingeniería y la tecnología; en materia de ciencias biológicas y disciplinas conexas, incluida la medicina, y en materia de ciencias sociales, humanidades, artes y religión; la enseñanza, a distintos niveles educativos, de la teoría y la práctica de una o más disciplinas o de un programa especial como el que exija la instrucción de personas disminuidas física o mentalmente); la prestación de servicios jurídicos, sociales, económicos y comerciales, inclusive los vinculados con la gestión de empresas; la creación y ejecución de obras literarias y artísticas; la dirección y orientación espirituales, y la preparación de ponencias, informes y libros de carácter académico, científico o cultural. Además, pueden incluir la supervisión de otros trabajadores.";Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y las exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este gran grupo en el gran grupo 3: Técnicos y profesionales de nivel medio. Tales casos pueden darse especialmente entre las ocupaciones relativas a la enseñanza, la enfermería y partería y el trabajo social.;;['Análisis_e_investigación', 'Formulación_y_desarrollo_de_conceptos_teorías_y_métodos_y_asesoramiento_o_aplicación_de_los_conocimientos_en_materia_de_ciencias_exactas_incluidas_las_matemáticas_la_arquitectura_la_ingeniería_y_la_tecnología', 'En_materia_de_ciencias_biológicas_y_disciplinas_conexas_incluida_la_medicina_y_en_materia_de_ciencias_sociales_humanidades_artes_y_religión', '', 'La_prestación_de_servicios_jurídicos_sociales_económicos_y_comerciales_inclusive_los_vinculados_con_la_gestión_de_empresas', 'La_creación_y_ejecución_de_obras_literarias_y_artísticas', 'La_dirección_y_orientación_espirituales_y_la_preparación_de_ponencias_informes_y_libros_de_carácter_académico_científico_o_cultural._además_pueden_incluir_la_supervisión_de_otros_trabajadores.']
3;Técnicos_y_profesionales_de_nivel_medio;Los técnicos y profesionales de nivel medio desempeñan funciones predominantemente técnicas o especializadas relacionadas con la investigación y con la aplicación de los principios, conceptos y métodos de distintas ramas científicos o artísticos y con los reglamentos oficiales o profesionales e imparten enseñanza de cierto nivel. La mayoría de las ocupaciones de este gran grupo requieren competencias de tercer grado, tal como las define la CIUO.;"a) Las tareas desempeñadas por lo común por los técnicos y profesionales de nivel medio incluyen las siguientes: emprender y llevara cabo labores técnicas relacionadas con la investigación y la aplicación de conceptos, principios y métodos en materia de ciencias exactas, incluidas las matemáticas, la ingeniería y la tecnología; en materia de ciencias biológicas y disciplinas conexas, incluida la medicina, y en materia de ciencias sociales y humanidades. Otras tareas abarcan, por ejemplo, la enseñanza primaria y preescolar; la enseñanza de personas física y mentalmente disminuidas; la prestación de servicios técnicos relacionados con la gestión de empresas, el comercio, las finanzas, la administración - inclusive en lo que se refiere al control del cumplimiento de ciertas leyes y reglamentos - y la protección y la asistencia sociales; ciertas actividades artísticas y deportivas, y el ejercicio de determinadas funciones de carácter religioso. Tales tareas pueden incluir la supervisión de otros trabajadores.";Cabe observar que, habida cuenta de las tareas especificas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este gran grupo en el gran grupo 2: Profesionales científicos e intelectuales. Tales casos pueden darse especialmente en lo que se refiere a las ocupaciones del personal de enseñanza, del personal de enfermería y partería y de los trabajadores y asistentes sociales.;;['Emprender_y_llevara_cabo_labores_técnicas_relacionadas_con_la_investigación_y_la_aplicación_de_conceptos_principios_y_métodos_en_materia_de_ciencias_exactas_incluidas_las_matemáticas_la_ingeniería_y_la_tecnología', 'En_materia_de_ciencias_biológicas_y_disciplinas_conexas_incluida_la_medicina_y_en_materia_de_ciencias_sociales_y_humanidades._otras_tareas_abarcan_por_ejemplo_la_enseñanza_primaria_y_preescolar', 'La_enseñanza_de_personas_física_y_mentalmente_disminuidas', 'La_prestación_de_servicios_técnicos_relacionados_con_la_gestión_de_empresas_el_comercio_las_finanzas_la_administración_-_inclusive_en_lo_que_se_refiere_al_control_del_cumplimiento_de_ciertas_leyes_y_reglamentos_-_y_la_protección_y_la_asistencia_sociales', 'Ciertas_actividades_artísticas_y_deportivas_y_el_ejercicio_de_determinadas_funciones_de_carácter_religioso._tales_tareas_pueden_incluir_la_supervisión_de_otros_trabajadores.']
4;Personal_de_apoyo_administrativo;Los empleados de oficina registran, organizan, archivan, computadorizan y recuperan datos e informaciones relacionados con el trabajo que se les confía y ejecutan diversas tareas de oficina, en especial las que atañen a los trabajos de secretaría, las operaciones de contabilidad, teneduría de libros, estadística y otras funciones que requieren el manejo de datos numéricos, las operaciones de pago y cobranza, los arreglos de viaje y la concertación de entrevistas y citas.;"a) Las tareas desempeñadas por lo común por los empleados de oficina incluyen las siguientes: realizar trabajos de secretaría, taquigrafía y mecanografía y operar máquinas de tratamiento de textos y otras máquinas de oficina; ingresar datos en ordenadores o computadoras y realizar operaciones numéricas: llevar registros de existencias y producción y otros archivos conexos; llevar registros de transporte de pasajeros y carga: realizar tareas administrativas en bibliotecas y archivos; archivar documentos y correspondencia; organizar y efectuar tareas de clasificación y distribución de correspondencia interna o en los servicios de correos; verificar y corregir pruebas de imprenta; escribir en nombre de personas analfabetas o que necesiten ayuda; efectuar pagos y cobranzas;";"tramitar arreglos de viaje; facilitar la información que solicitan los clientes y concertar citas o entrevistas, y atender el servicio interno de conmutadoras telefónicas. Sus tareas pueden incluir la supervisión de otros trabajadores.";;['Realizar_trabajos_de_secretaría_taquigrafía_y_mecanografía_y_operar_máquinas_de_tratamiento_de_textos_y_otras_máquinas_de_oficina', 'Ingresar_datos_en_ordenadores_o_computadoras_y_realizar_operaciones_numéricas:_llevar_registros_de_existencias_y_producción_y_otros_archivos_conexos', 'Llevar_registros_de_transporte_de_pasajeros_y_carga:_realizar_tareas_administrativas_en_bibliotecas_y_archivos', 'Archivar_documentos_y_correspondencia', 'Organizar_y_efectuar_tareas_de_clasificación_y_distribución_de_correspondencia_interna_o_en_los_servicios_de_correos', 'Verificar_y_corregir_pruebas_de_imprenta', 'Escribir_en_nombre_de_personas_analfabetas_o_que_necesiten_ayuda', 'Efectuar_pagos_y_cobranzas', '']
7;Oficiales_operarios_y_artesanos_de_artes_mecánicas_y_de_otros_oficios;"Los oficiales, operarios y artesanos de artes mecánicas y de otros oficios aplican sus conocimientos, calificaciones y destrezas profesionales en las esferas de la minería y la construcción, forjan metales, erigen estructuras metálicas, ajustan máquinas herramientas o fabrican, mantienen o reparan máquinas, equipos y herramientas; ejecutan trabajos de imprenta e, igualmente, elaboran o procesan productos alimenticios y artículos de tela, tejido, madera, metal u otras materias, o producen artesanías.";"a) Sus tareas y funciones requieren un trabajo manual combinado con la utilización de herramientas o máquinas herramientas de uso manual para reducir el esfuerzo físico necesario y el tiempo preciso para efectuar las labores, así como para mejorar la calidad de los productos. Las ocupaciones de este gran grupo exigen conocimientos de las etapas de la producción y de los materiales, máquinas y herramientas utilizados, así como de la naturaleza y los usos a que se destinan los productos acabados. La mayoría de esas ocupaciones requieren competencias de segundo grado, tal como las define la CIUO.

Las tareas desempeñadas por lo común por los oficiales, operarios y artesanos de artes mecánicas y de otros oficios incluyen las siguientes: extraer y transformar minerales sólidos; construir, mantener y reparar edificios y otras obras y estructuras; moldear, cortar y soldar metales; instalar y erigir grandes estructuras metálicas, aparejos y equipos similares; fabricar máquinas herramientas, equipos y otros artículos metálicos; ajustar diversas máquinas herramientas para uso por sus operadores o para el manejo propio; ajustar, conservar y reparar máquinas industriales, incluidos motores y vehículos, así como máquinas e instrumentos eléctricos y electrónicos y otros equipos; fabricar instrumentos de precisión, alhajas, artículos para el hogar y otros artículos de metales preciosos, piezas de cerámica, artículos de vidrio y productos similares;

efectuar trabajos de artesanía; realizar trabajos de imprenta, y elaborar y procesar productos comestibles y diversos artículos hechos con madera, materias textiles, cuero y otros materiales. Sus tareas pueden incluir la supervisión de otros trabajadores.";Las ocupaciones que abarcan tareas sencillas y rutinarias realizadas principalmente mediante el uso de herramientas manuales, cierto esfuerzo físico, poca o ninguna experiencia ni conocimiento previos del trabajo y escasa iniciativa o capacidad de juicio se clasifican en el gran grupo 9: Trabajadores no calificados.;;['Sus_tareas_y_funciones_requieren_un_trabajo_manual_combinado_con_la_utilización_de_herramientas_o_máquinas_herramientas_de_uso_manual_para_reducir_el_esfuerzo_físico_necesario_y_el_tiempo_preciso_para_efectuar_las_labores_así_como_para_mejorar_la_calidad_de_los_productos._las_ocupaciones_de_este_gran_grupo_exigen_conocimientos_de_las_etapas_de_la_producción_y_de_los_materiales_máquinas_y_herramientas_utilizados_así_como_de_la_naturaleza_y_los_usos_a_que_se_destinan_los_productos_acabados._la_mayoría_de_esas_ocupaciones_requieren_competencias_de_segundo_grado_tal_como_las_define_la_ciuo.\n\nlas_tareas_desempeñadas_por_lo_común_por_los_oficiales_operarios_y_artesanos_de_artes_mecánicas_y_de_otros_oficios_incluyen_las_siguientes:_extraer_y_transformar_minerales_sólidos', 'Construir_mantener_y_reparar_edificios_y_otras_obras_y_estructuras', 'Moldear_cortar_y_soldar_metales', 'Instalar_y_erigir_grandes_estructuras_metálicas_aparejos_y_equipos_similares', 'Fabricar_máquinas_herramientas_equipos_y_otros_artículos_metálicos', 'Ajustar_diversas_máquinas_herramientas_para_uso_por_sus_operadores_o_para_el_manejo_propio', 'Ajustar_conservar_y_reparar_máquinas_industriales_incluidos_motores_y_vehículos_así_como_máquinas_e_instrumentos_eléctricos_y_electrónicos_y_otros_equipos', 'Fabricar_instrumentos_de_precisión_alhajas_artículos_para_el_hogar_y_otros_artículos_de_metales_preciosos_piezas_de_cerámica_artículos_de_vidrio_y_productos_similares', 'Efectuar_trabajos_de_artesanía', 'Realizar_trabajos_de_imprenta_y_elaborar_y_procesar_productos_comestibles_y_diversos_artículos_hechos_con_madera_materias_textiles_cuero_y_otros_materiales._sus_tareas_pueden_incluir_la_supervisión_de_otros_trabajadores.']
11;Directores_ejecutivos_personal_directivo_de_la_administración_pública_y_miembros_del_poder_ejecutivo_y_de_los_cuerpos_legislativos;"Los miembros del poder ejecutivo y de los cuerpos legislativos y el personal directivo de la administración pública definen, formulan y orientan las políticas de los gobiernos nacionales, así como las de los organismos especializados o asesoran al respecto; elaboran, ratifican o modifican y derogan leyes y reglamentos, actúan en nombre y representación de los gobiernos; vigilan la interpretación y aplicación de las políticas y decisiones del gobierno, así como de la legislación, o desempeñan tareas similares en representación de otras organizaciones especializadas.";"a) Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política del gobierno nacional, del gobierno del Estado federado o de la provincia, región o colectividad local o asesorar al respecto y dirigir su aplicación; actuar en nombre y representación del gobierno; vigilar la interpretación y aplicación de las políticas del gobierno y de la legislación por los servicios u organismos oficiales o intergubernamentales; ejercer funciones similares por cuenta de un partido político, de un sindicato u otra organización especializada: realizar negociaciones en nombre de dichos organismos, de sus miembros o clientes. Sus tareas pueden incluir la supervisión de otros trabajadores.";En algunos de los casos en que se exige a los trabajadores que desempeñan funciones ejecutivas, legislativas o administrativas que posean calificaciones científicas, técnicas o profesionales pueden plantearse dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro gran grupo. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si para el buen desempeño de las propias tareas ejecutivas, legislativas, administrativas o directivas se requieren una calificación y un conocimiento específicos, el puesto de trabajo deberá clasificarse bajo este gran grupo. Por ejemplo, si las tareas principales de un puesto de trabajo consisten en diagnosticar y tratar enfermedades, este puesto deberá clasificarse en el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si una de las tareas principales consiste, por ejemplo, en asignar a la investigación y al desarrollo fondos procedentes del presupuesto público, tomándose como base el conocimiento médico, dicho puesto de trabajo debería pertenecer a este gran grupo.;;['definir_y_formular_la_política_del_gobierno_nacional_del_gobierno_del_estado_federado_o_de_la_provincia_región_o_colectividad_local_o_asesorar_al_respecto_y_dirigir_su_aplicación', 'Actuar_en_nombre_y_representación_del_gobierno', 'Vigilar_la_interpretación_y_aplicación_de_las_políticas_del_gobierno_y_de_la_legislación_por_los_servicios_u_organismos_oficiales_o_intergubernamentales', 'Ejercer_funciones_similares_por_cuenta_de_un_partido_político_de_un_sindicato_u_otra_organización_especializada:_realizar_negociaciones_en_nombre_de_dichos_organismos_de_sus_miembros_o_clientes._sus_tareas_pueden_incluir_la_supervisión_de_otros_trabajadores.']
12;Directores_administradores_y_comerciales;Los directores de empresa definen y formulan la política de una empresa o de un organismo o de uno o varios de sus departamentos o servicios y dirigen y coordinan sus actividades.;"a) Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: definir y formular la política de la empresa u organismo; planificar, dirigir y coordinar las actividades de la empresa u organismo en su conjunto o de uno de sus departamentos o servicios. Sus tareas pueden incluir la supervisión de otros trabajadores.";"En algunos de los casos en que se exige a los trabajadores que ocupan cargos directivos que posean calificaciones profesionales, técnicas o prácticas, pueden surgir dificultades para decidir si un puesto de trabajo determinado ha de clasificarse bajo éste o bajo otro subgrupo principal. En tales casos, la descripción detallada de las principales tareas correspondientes al cargo tendrá una importancia decisiva. Ahora bien, si dichas tareas requieren la aplicación práctica de calificaciones y conocimientos profesionales o técnicos específicos, el puesto de trabajo en cuestión deberá clasificarse bajo el gran grupo que corresponda. En cambio, si las calificaciones y los conocimientos constituyen la base necesaria para el ejercicio de las funciones de dirección, el puesto de trabajo deberá clasificarse bajo el presente subgrupo principal. Por ejemplo, si las tareas principales consisten en diagnosticar y tratar enfermedades, el puesto de trabajo deberá clasificarse bajo el gran grupo 2, Profesionales científicos e intelectuales. En cambio, si las tareas principales consisten en decidir sobre la asignación de fondos para la investigación y el desarrollo que habrán de invertirse en los proyectos de una empresa u organización, tomándose como base el conocimiento médico, a dicho puesto de trabajo se le debería clasificar en este subgrupo principal.

Los profesionales y técnicos que asesoren, en calidad de consultores, a las empresas y organizaciones sobre cuestiones de dirección general o especializada, o de funcionamiento, deberán clasificarse bajo los grandes grupos 2, Profesionales científicos e intelectuales, o 3, Técnicos y profesionales de nivel medio, según corresponda.";;['definir_y_formular_la_política_de_la_empresa_u_organismo', 'Planificar_dirigir_y_coordinar_las_actividades_de_la_empresa_u_organismo_en_su_conjunto_o_de_uno_de_sus_departamentos_o_servicios._sus_tareas_pueden_incluir_la_supervisión_de_otros_trabajadores.']
13;Directores_y_gerentes_de_producción_y_operaciones;Los gerentes de empresa dirigen pequeñas empresas de todo tipo por cuenta propia o en representación de los propietarios, con la asistencia de otro gerente como máximo y de personal subordinado;"a) Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes:

planificar, definir y aplicar la política de la empresa; dirigir las operaciones cotidianas y analizar sus resultados; negociar con los abastecedores y los clientes, así como con otras empresas; planificar y controlar la utilización de los recursos y la selección del personal; presentar informes a los propietarios, si los hay; supervisar a otros trabajadores";;;['Planificar_definir_y_aplicar_la_política_de_la_empresa', 'Dirigir_las_operaciones_cotidianas_y_analizar_sus_resultados', 'Negociar_con_los_abastecedores_y_los_clientes_así_como_con_otras_empresas', 'Planificar_y_controlar_la_utilización_de_los_recursos_y_la_selección_del_personal', 'Presentar_informes_a_los_propietarios_si_los_hay', 'Supervisar_a_otros_trabajadores']
14;Gerentes_de_hoteles_restaurantes_comercios_y_otros_servicios;;;;;[]
21;Profesionales_de_las_ciencias_y_de_la_ingeniería;Los profesionales de las ciencias físicas, químicas y matemáticas y de la ingeniería o bien investigan, perfeccionan o desarrollan conceptos, teorías y métodos o bien aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología, geofísica, matemáticas, estadística, informática, arquitectura, ingeniería y tecnología en sus distintas ramas u otras ramas o campos conexos.;"a) Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: investigar, ampliar, aplicar o asesorar sobre los conocimientos científicos adquiridos mediante el estudio de las estructuras y propiedades de la materia y los fenómenos físicos, de las características y procesos químicos de diversas sustancias, materiales y productos y de conceptos y métodos matemáticos, estadísticos e informáticos, proyectar y dirigir la construcción de edificios, obras públicas, ciudades y sistemas de tránsito y de estructuras, instalaciones, máquinas y equipos industriales, incluidos los de la minería, así como las operaciones en distintas ramas de la ingeniería y de la informática; asesorar en estos aspectos y respecto de los procesos y métodos de extracción y producción y asegurar resultados óptimos; estudiar la tecnología de determinados materiales, productos y procesos y la eficiencia de la producción y de la organización del trabajo y asesorar al respecto; explorar tierras y mares y trazar planos, cartas y mapas, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;;['investigar_ampliar_aplicar_o_asesorar_sobre_los_conocimientos_científicos_adquiridos_mediante_el_estudio_de_las_estructuras_y_propiedades_de_la_materia_y_los_fenómenos_físicos_de_las_características_y_procesos_químicos_de_diversas_sustancias_materiales_y_productos_y_de_conceptos_y_métodos_matemáticos_estadísticos_e_informáticos_proyectar_y_dirigir_la_construcción_de_edificios_obras_públicas_ciudades_y_sistemas_de_tránsito_y_de_estructuras_instalaciones_máquinas_y_equipos_industriales_incluidos_los_de_la_minería_así_como_las_operaciones_en_distintas_ramas_de_la_ingeniería_y_de_la_informática', 'Asesorar_en_estos_aspectos_y_respecto_de_los_procesos_y_métodos_de_extracción_y_producción_y_asegurar_resultados_óptimos', 'Estudiar_la_tecnología_de_determinados_materiales_productos_y_procesos_y_la_eficiencia_de_la_producción_y_de_la_organización_del_trabajo_y_asesorar_al_respecto', 'Explorar_tierras_y_mares_y_trazar_planos_cartas_y_mapas_y_preparar_ponencias_e_informes_científicos._sus_tareas_pueden_incluir_la_supervisión_de_otros_trabajadores.']
