competencias;comp_original;parent_cod;cod
accionar controlar aparato utilizado diagnosticar enfermedade trastorno sistema nervioso distinto órgano hacer radiografía anestesiar;Accionar y controlar los aparatos utilizados para diagnosticar enfermedades y trastornos del sistema nervioso o de distintos órganos para hacer radiografías o para anestesiar;c00025;c000250
accionar controlar computadora equipo periférico registrar almacenar transmitir tratar información digital representarla forma escrita numérica gráfica pantalla impresa papel película;Accionar y controlar computadoras y equipos periféricos para registrar almacenar transmitir y tratar información digital y representarla en forma escrita numérica o gráfica sobre una pantalla o impresa en papel o película;c00025;c000251
accionar controlar instrumento aparato equipo sistema óptico electrónico similares;Accionar y controlar instrumentos aparatos equipos y sistemas ópticos electrónicos y similares;c00025;c000252
aceptacion regresion ingle tecnico experiencia qa producto tecnologico experiencia herramienta automatizacion prueba experiencia sql comprension base dato relacionale experiencia creacion proceso verificar aplicacione carga datos;Aceptacion y regresion ingles tecnico experiencia  qa en productos tecnologicos experiencia con herramientas de automatizacion de pruebas experiencia con sql y comprension de bases de datos relacionales experiencia en creacion de procesos para verificar aplicaciones en carga de datos;c00111;c001110
aceptar causa alegar tribunale superiores;Aceptar causas y alegar ante los tribunales superiores;c02202;c022020
aconsejar materia seguro vender contrato seguros;Aconsejar en materia de seguros y vender contratos de seguros;c02200;c022000
activar mecanismo control funciones;Activar los mecanismos de control de esas funciones;c00025;c000253
actuar fiscal procurador causa penales;Actuar como fiscal o procurador del estado en causas penales;c02202;c022021
actuar nombre representación gobierno;Actuar en nombre y representación del gobierno;c02202;c022022
adaptar plane instrucción característica necesidade distinto grupo inválido ésto niño jóvene adulto física mentalmente disminuido enseñarle recurriendo técnica medio apropiado - pueden ser sistema escritura braille lectura labial u -;Adaptar los planes de instrucción a las características y necesidades de distintos grupos de inválidos sean éstos niños jóvenes o adultos física o mentalmente disminuidos y enseñarles recurriendo a técnicas y medios apropiados - como pueden ser el sistema de escritura braille el de lectura labial u otros -;c00025;c000254
adaptar programa estudio enseñanza característica posibilidade determinado grupo inválido deficiencia física mentale persona requieren instrucción especial;adaptar el programa de estudios o enseñanza a las características y posibilidades de determinado grupo de inválidos con deficiencias físicas o mentales o de personas que requieren instrucción especial;c00044;c000440
administracion mantenimiento infraestructura seguridad ( firewall vpn antiviru );Administracion y mantenimiento de infraestructura de seguridad (firewall vpn antivirus);c02200;c022001
administracion mantenimiento sistema operativo window manejo herramienta kali linux;Administracion y mantenimiento de sistemas operativos windows y manejo de herramientas como kali linux;c00025;c000255
administrar justicia dictar sentencia tribunale . funcione pueden incluir supervisión trabajadore .;Administrar la justicia y dictar sentencias en los tribunales. estas funciones pueden incluir la supervisión de otros trabajadores.;c02202;c022023
administrativo operacione ( los waste intelligence system lwi ) realizar tallere lean ( wemba walk vsm etc ) mantener identificada actividade generen valor brindar educacion entrenamiento personal concepto lean diferente herramienta mejoramiento operacione coordinar ejecutar evento kaizen generen valor operacion conciencia mejoramiento continuo emitir reporte perdida eficiencia;Y administrativos de operaciones (loss  waste intelligence system lwis)   realizar talleres lean (wemba walks vsm etc) para mantener identificadas las actividades que no generen valor   brindar educacion y entrenamiento al personal sobre conceptos lean y sus diferentes herramientas para el mejoramiento de las operaciones   coordinar y ejecutar eventos kaizen que generen valor para la operacion y conciencia sobre el mejoramiento continuo   emitir los reportes de perdidas de eficiencia;c00111;c001111
admitir denegar oír apreciar argumento aducido prueba aportadas;Admitir o denegar oír y apreciar los argumentos aducidos y las pruebas aportadas;c02202;c022024
afine conocimiento gestion proyectos;O afines  conocimientos  gestion de proyectos;c00111;c001112
ajustar conservar reparar máquina industriale incluido motore vehículo así máquina instrumento eléctrico electrónico equipos;Ajustar conservar y reparar máquinas industriales incluidos motores y vehículos así como máquinas e instrumentos eléctricos y electrónicos y otros equipos;c00025;c000256
ajustar diversa máquina herramienta uso operadore manejo propio;Ajustar diversas máquinas herramientas para uso por sus operadores o para el manejo propio;c00025;c000257
ajustar regular equipo computadora grabadore transmisore imagen sonido radar componente electrónico instrumento musicale aparato médico maquinaria industrial sistema señaliza- ción;Ajustar y regular equipos de computadoras de grabadores y transmisores de imagen y sonido de radar y componentes electrónicos de instrumentos musicales aparatos médicos maquinaria industrial y sistemas de señaliza- ción;c00025;c000258
alegar preparar alegato querellante acusado someterlo tribunale correspondan;Alegar y preparar los alegatos del querellante o del acusado y someterlos a los tribunales que correspondan;c02202;c022025
algoritmo lenguaje programacion resolver grande desafio dato cuente resultado manera efectiva creativa cree visualizacione describir comunicar informacion dato conocimiento algoritmo optimizacion ( dc backtracking metaheuristico etc ) python;Algoritmos y lenguajes de programacion para resolver grandes desafios de datos cuente los resultados de manera efectiva y creativa y cree visualizaciones para describir y comunicar informacion sobre los datos conocimientos de algoritmos de optimizacion (dc backtracking metaheuristicos etc) python;c00044;c000441
ampliar conservar coleccione sistemática obra publicada grabacione sonora película ponerla disposición usuario biblioteca archivo institucione similare preparar ponencia informe carácter académico científico . tarea pueden incluir supervisión trabajadore .;Ampliar y conservar colecciones sistemáticas de obras publicadas grabaciones sonoras y películas y ponerlas a disposición de los usuarios en las bibliotecas archivos y otras instituciones similares y preparar ponencias e informes de carácter académico o científico. esas tareas pueden incluir la supervisión de otros trabajadores.;c00044;c000442
analizar dato obtenido estacione meteorológica trazar carta preparar pronóstico corto largo plazo uso navegación aérea marítima agricultura rama información público general;Analizar los datos obtenidos de estaciones meteorológicas trazar cartas y preparar pronósticos a corto o a largo plazo para su uso en la navegación aérea y marítima la agricultura y otras ramas y para la información del público en general;c02202;c022026
analizar fotografiar aérea tipo dato topográfico índole obtenido detectore distancia preparar revisar mapa plano topográfico mapa utilitario mapa temáticos;Analizar fotografiar aéreas y de otro tipo y datos topográficos o de otra índole obtenidos por detectores a distancia para preparar o revisar mapas y planos topográficos mapas utilitarios y otros mapas temáticos;c02202;c022027
analizar lógicamente diverso problema gestión relativo modelo eficiente insumo-producto formular modelo matemático acerca cada problema generalmente programación tratamiento informáticos;Analizar lógicamente diversos problemas de gestión sobre todo los relativos a modelos eficientes de insumo-producto y formular modelos matemáticos acerca de cada problema generalmente para su programación y tratamiento informáticos;c00044;c000443
analizar necesidade usuario computadora consulta determinar configuracione computadora programa soporte lógico prever futura orientacione desarrollo preparar análisi costo relación beneficios;Analizar las necesidades de los usuarios de computadoras en consulta con ellos para determinar configuraciones de computadoras y programas y soportes lógicos prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;c00025;c000259
analizar tendencia mercado concierne distinto valore divisa producto biene raíce cotizado realizar operacione compraventa nombre propio representación clientes;analizar las tendencias del mercado en lo que concierne a distintos valores divisas productos y bienes raíces cotizados y realizar operaciones de compraventa en nombre propio o en representación de clientes;c00044;c000444
analizar tendencia mercado respecto título obligacione accione valore financiero inclusive divisas;Analizar las tendencias del mercado con respecto a títulos obligaciones acciones y otros valores financieros inclusive divisas;c00044;c000445
