title_clean;link;description;desc;list_compe
analista seguridad tecnologia informacion;35;Hospital Universitario en Bogotá requiere Profesional en Ingeniería de sistemas Ingeniería Electrónica, Ingeniería de Telecomunicaciones o afines con 6 meses de experiencia en cargos relacionados con procesos tecnológicos de seguridad de la información y preferiblemente contar con cursos o certificaciones en Seguridad de la información. Indispensable conocimiento en redes y telecomunicaciones, administración y mantenimiento de infraestructura de seguridad (Firewall, VPN, Antivirus), administración y mantenimiento de sistemas operativos Windows y manejo de herramientas como Kali Linux, Wireshark, Nmap o similares.Contrato directo, a término indefinido y todas las prestaciones de ley. Show more ;hospital universitario en bogota requiere profesional en ingenieria de sistemas ingenieria electronica, ingenieria de telecomunicaciones o afines con  meses de experiencia en cargos relacionados con procesos tecnologicos de seguridad de la informacion y preferiblemente contar con cursos o certificaciones en seguridad de la informacion indispensable conocimiento en redes y telecomunicaciones, administracion y mantenimiento de infraestructura de seguridad (firewall, vpn, antivirus), administracion y mantenimiento de sistemas operativos windows y manejo de herramientas como kali linux, wireshark, nmap o similarescontrato directo, a termino indefinido y todas las prestaciones de ley show more ;['ingenieria de telecomunicaciones o afines con  meses de experiencia en cargos relacionados con procesos tecnologicos de seguridad de la informacion y preferiblemente contar con cursos o certificaciones en seguridad de la informacion indispensable conocimiento en redes y telecomunicaciones', 'administracion y mantenimiento de infraestructura de seguridad (firewall vpn antivirus)', 'administracion y mantenimiento de sistemas operativos windows y manejo de herramientas como kali linux']
analista requerimientos tecnologia informacion;32;Profesional en Ingeniería de Sistemas o Ingeniería Industrial. Conocimiento en Herramientas ofimáticas (Word, Excel, Power Point, Outlook, Internet). Conocimiento en procesamiento de datos, manejo de SQL Server para realización de consultas, notación de procesos BPMN, metodología Scrum, herramientas de pruebas de Web Service. 2 años de experiencia en pruebas funcionales empresariales, preferiblemente en sector salud.Contrato indefinido y con todas las prestaciones de ley. Show more ;profesional en ingenieria de sistemas o ingenieria industrial conocimiento en herramientas ofimaticas (word, excel, power point, outlook, internet) conocimiento en procesamiento de datos, manejo de sql server para realizacion de consultas, notacion de procesos bpmn, metodologia scrum, herramientas de pruebas de web service  años de experiencia en pruebas funcionales empresariales, preferiblemente en sector saludcontrato indefinido y con todas las prestaciones de ley show more ;['profesional en ingenieria de sistemas o ingenieria industrial conocimiento en herramientas ofimaticas (word excel power point outlook internet) conocimiento en procesamiento de datos', 'manejo de sql server para realizacion de consultas', 'notacion de procesos bpmn', 'metodologia scrum', 'herramientas de pruebas de web service  años de experiencia en pruebas funcionales empresariales']
analista datos;26;"CL Grupo Industrial es un holding de 26 empresas y casi 3.000 empleados que está presente en sectores como acero, química, packaging, pet, energías y consumo. Se trata de un grupo de origen familiar y capital 100% español con una facturación en 2021 de más de 1.500 millones de euros.     Estamos seleccionando un/a ingeniero/a de data analyst para el departamento corporativo del Grupo. La persona podrá estar ubicada con el resto del equipo en Jerez de los Caballeros, o en otros centros de trabajo como Madrid, Barcelona o Bilbao.     Funciones  Trabaja con el equipo para extraer y explorar datos usando herramientas modernas y lenguajes de programación como Python/R. Aplicar técnicas avanzadas de modelado estadístico y predictivo para construir, mantener y mejorar los sistemas de decisión. Desarrollar enfoques innovadores y efectivos para resolver problemas analíticos y comunicar resultados y metodologías. Define e implementa modelos para descubrir patrones y predicciones creando valor comercial e innovación Capacidad para traducir las necesidades comerciales en requisitos técnicos, proponer y validar soluciones Mantiene la competencia dentro del dominio de la ciencia de datos al mantenerse al día con la tecnología y los cambios de tendencia. Contribuye a las iniciativas de dominio de ciencia de datos de la industria Garantiza la precisión, la integridad y el cumplimiento de los datos limpios. Mantiene la competencia dentro del dominio de la ciencia de datos al mantenerse al día con la tecnología y los cambios de tendencia. Colabora y se comunica con el equipo del proyecto sobre el progreso del proyecto y la resolución de problemas y sugiere cambios o mejoras. Uso de estadísticas, matemáticas, algoritmos y lenguajes de programación como Python, R, SQL, etc. El conocimiento de Qlik Sense es necesario para visualizar la información analítica para compartir con las partes interesadas.     Requisitos:  Entre 1 y 3 años de experiencia en el uso de estadísticas, matemáticas, algoritmos y lenguajes de programación para resolver grandes desafíos de datos Cuente los resultados de manera efectiva y creativa y cree visualizaciones para describir y comunicar información sobre los datos. Conocimientos de algoritmos de optimización (D&C, Backtracking, metaheurísticos, etc). Python, Numpy, Pandas, Matplot, Scikit learn, una o más bibliotecas de aprendizaje profundo (Keras, Pytorch, Tensorflow, etc.) Algoritmos de Machine Learning (Decision Trees, Random Forest, Gradient boosting, Naïve Bayes, PCA, redes neuronales, etc.) Matemáticas (matrices, cálculo, álgebra lineal, probabilidad) Técnicas estadísticas (regresión lineal/logística, prueba de hipótesis, pronóstico, etc.) Conocimiento avanzado de Excel Conocimiento de SQL preferido     Se ofrece:  Incorporación a un proyecto renovado y en pleno desarrollo. Oportunidades de crecimiento profesional en una compañía en expansión. Desarrollo y formación continuada en un proyecto retador. Buen ambiente de trabajo. Salario competitivo.     Si estás interesado/a en esta oferta haz click en ""aplicar ahora"" para enviar una copia actualizada de tu CV. Te garantizamos la confidencialidad en el proceso.  Show more ,";cl grupo industrial es un holding de  empresas y casi  empleados que esta presente en sectores como acero, quimica, packaging, pet, energias y consumo se trata de un grupo de origen familiar y capital  español con una facturacion en  de mas de  millones de euros     estamos seleccionando una ingenieroa de data analyst para el departamento corporativo del grupo la persona podra estar ubicada con el resto del equipo en jerez de los caballeros, o en otros centros de trabajo como madrid, barcelona o bilbao     funciones  trabaja con el equipo para extraer y explorar datos usando herramientas modernas y lenguajes de programacion como pythonr aplicar tecnicas avanzadas de modelado estadistico y predictivo para construir, mantener y mejorar los sistemas de decision desarrollar enfoques innovadores y efectivos para resolver problemas analiticos y comunicar resultados y metodologias define e implementa modelos para descubrir patrones y predicciones creando valor comercial e innovacion capacidad para traducir las necesidades comerciales en requisitos tecnicos, proponer y validar soluciones mantiene la competencia dentro del dominio de la ciencia de datos al mantenerse al dia con la tecnologia y los cambios de tendencia contribuye a las iniciativas de dominio de ciencia de datos de la industria garantiza la precision, la integridad y el cumplimiento de los datos limpios mantiene la competencia dentro del dominio de la ciencia de datos al mantenerse al dia con la tecnologia y los cambios de tendencia colabora y se comunica con el equipo del proyecto sobre el progreso del proyecto y la resolucion de problemas y sugiere cambios o mejoras uso de estadisticas, matematicas, algoritmos y lenguajes de programacion como python, r, sql, etc el conocimiento de qlik sense es necesario para visualizar la informacion analitica para compartir con las partes interesadas     requisitos  entre  y  años de experiencia en el uso de estadisticas, matematicas, algoritmos y lenguajes de programacion para resolver grandes desafios de datos cuente los resultados de manera efectiva y creativa y cree visualizaciones para describir y comunicar informacion sobre los datos conocimientos de algoritmos de optimizacion (dc, backtracking, metaheuristicos, etc) python, numpy, pandas, matplot, scikit learn, una o mas bibliotecas de aprendizaje profundo (keras, pytorch, tensorflow, etc) algoritmos de machine learning (decision trees, random forest, gradient boosting, naïve bayes, pca, redes neuronales, etc) matematicas (matrices, calculo, algebra lineal, probabilidad) tecnicas estadisticas (regresion lineallogistica, prueba de hipotesis, pronostico, etc) conocimiento avanzado de excel conocimiento de sql preferido     se ofrece  incorporacion a un proyecto renovado y en pleno desarrollo oportunidades de crecimiento profesional en una compañia en expansion desarrollo y formacion continuada en un proyecto retador buen ambiente de trabajo salario competitivo     si estas interesadoa en esta oferta haz click en aplicar ahora para enviar una copia actualizada de tu cv te garantizamos la confidencialidad en el proceso  show more ,;['barcelona o bilbao     funciones  trabaja con el equipo para extraer y explorar datos usando herramientas modernas y lenguajes de programacion como pythonr aplicar tecnicas avanzadas de modelado estadistico y predictivo para construir', 'mantener y mejorar los sistemas de decision desarrollar enfoques innovadores y efectivos para resolver problemas analiticos y comunicar resultados y metodologias define e implementa modelos para descubrir patrones y predicciones creando valor comercial e innovacion capacidad para traducir las necesidades comerciales en requisitos tecnicos', 'etc el conocimiento de qlik sense es necesario para visualizar la informacion analitica para compartir con las partes interesadas     requisitos  entre  y  años de experiencia en el uso de estadisticas', 'algoritmos y lenguajes de programacion para resolver grandes desafios de datos cuente los resultados de manera efectiva y creativa y cree visualizaciones para describir y comunicar informacion sobre los datos conocimientos de algoritmos de optimizacion (dc backtracking metaheuristicos etc) python', 'una o mas bibliotecas de aprendizaje profundo (keras pytorch tensorflow etc) algoritmos de machine learning (decision trees random forest gradient boosting naïve bayes pca redes neuronales etc) matematicas (matrices calculo algebra lineal probabilidad) tecnicas estadisticas (regresion lineallogistica prueba de hipotesis pronostico etc) conocimiento avanzado de excel conocimiento de sql preferido     se ofrece  incorporacion a un proyecto renovado y en pleno desarrollo oportunidades de crecimiento profesional en una compañia en expansion desarrollo y formacion continuada en un proyecto retador buen ambiente de trabajo salario competitivo     si estas interesadoa en esta oferta haz click en aplicar ahora para enviar una copia actualizada de tu cv te garantizamos la confidencialidad en el proceso  show more ']
arquitecto datos tecnologia informacion;26;Profesional en Ingeniería de Sistemas con estudios de posgrado en arquitectura de datos, gerencia de la información, analítica de datos, inteligencia de negocios, Big Data o afines. Certificado en manejo de bases de datos en productos Microsoft  Power BI. Conocimiento general y técnico en el uso de los principales componentes de arquitecturas On-premise y Nube, manejo de (SQL Database Engine, SSAS, SSIS, SSRS, Master Data Services, Oracle), procesos de ETL y calidad de datos (Integración Services, Master Data Services), Power-BI. Experiencia de 3 años en análisis y diseño en base de datos, calidad de datos, inteligencia de negocios, arquitectura de datos y gobierno de la información.Contrato indefinido y con todas las prestaciones de ley. Show more ;profesional en ingenieria de sistemas con estudios de posgrado en arquitectura de datos, gerencia de la informacion, analitica de datos, inteligencia de negocios, big data o afines certificado en manejo de bases de datos en productos microsoft  power bi conocimiento general y tecnico en el uso de los principales componentes de arquitecturas onpremise y nube, manejo de (sql database engine, ssas, ssis, ssrs, master data services, oracle), procesos de etl y calidad de datos (integracion services, master data services), powerbi experiencia de  años en analisis y diseño en base de datos, calidad de datos, inteligencia de negocios, arquitectura de datos y gobierno de la informacioncontrato indefinido y con todas las prestaciones de ley show more ;['big data o afines certificado en manejo de bases de datos en productos microsoft  power bi conocimiento general y tecnico en el uso de los principales componentes de arquitecturas onpremise y nube', 'manejo de (sql database engine ssas ssis ssrs master data services oracle)']
ingeniero datos tecnologia informacion;26;Profesional en Ingeniería de Sistemas, Ingeniería de la información o carreras afines. Certificación en herramientas de inteligencia de negocios y administración de bases de datos en Microsoft. Conocimiento y manejo de Servicios Cloud, buenas prácticas de uso, seguridad, y virtualización de datos, integración de datos con tecnologías ETL y frameworks de orquestación, herramientas de calidad de datos (tales como Master Data Services-MDS), construcción de modelos físicos (T-SQL), y lógicos (Analysis Services, Power BI, otros). Conocimientos de controles centrados en datos usando ISO 27001 y Protección de Datos Personales. 2 años de experiencia como desarrollador en proyectos de Inteligencia de Negocio o Análisis de Datos en el ámbito empresarial, preferiblemente en sector salud.Contrato indefinido y todas las prestaciones de ley. Show more ;profesional en ingenieria de sistemas, ingenieria de la informacion o carreras afines certificacion en herramientas de inteligencia de negocios y administracion de bases de datos en microsoft conocimiento y manejo de servicios cloud, buenas practicas de uso, seguridad, y virtualizacion de datos, integracion de datos con tecnologias etl y frameworks de orquestacion, herramientas de calidad de datos (tales como master data servicesmds), construccion de modelos fisicos (tsql), y logicos (analysis services, power bi, otros) conocimientos de controles centrados en datos usando iso  y proteccion de datos personales  años de experiencia como desarrollador en proyectos de inteligencia de negocio o analisis de datos en el ambito empresarial, preferiblemente en sector saludcontrato indefinido y todas las prestaciones de ley show more ;['ingenieria de la informacion o carreras afines certificacion en herramientas de inteligencia de negocios y administracion de bases de datos en microsoft conocimiento y manejo de servicios cloud', 'y virtualizacion de datos', 'integracion de datos con tecnologias etl y frameworks de orquestacion', 'herramientas de calidad de datos (tales como master data servicesmds)', 'construccion de modelos fisicos (tsql)', 'y logicos (analysis services power bi otros) conocimientos de controles centrados en datos usando iso  y proteccion de datos personales  años de experiencia como desarrollador en proyectos de inteligencia de negocio o analisis de datos en el ambito empresarial']
gerente proyectos;19;Presentación Compañía y proyectos     Implemental Systems es una Consultora tecnológica internacional con más de 20 años de experiencia en la gestión de procesos de Transformación Digital, implantación de tecnologías innovadoras y disruptivas, y haciendo realidad estrategias de Agendas Digitales en más de 12 países.     En nuestra División PMO Internacional ofrecemos un modelo diferencial de Gestión de Proyectos basado en una metodología propia, las mejores prácticas y el uso de la tecnología más innovadora para garantizar, a nuestros clientes, un time-to-market optimizado y la mayor calidad en los resultados.     Descripción de empleo     Buscamos personas para trabajar en nuestra División PMO, con una experiencia requerida a partir de 2 años en gestión de proyectos de tecnología e innovación. Tenemos varias posiciones abiertas, si cumples con los requisitos no dudes en contactarnos.     Área de conocimiento     Se requiere experiencia en alguna de las áreas de conocimiento siguientes:     · Gestión de proyectos de tecnologías de la información y telecomunicaciones.  · Ejecución de proyectos de tecnologías de la información y telecomunicaciones.  · Análisis, modificación y desarrollo de documentación y procedimientos de gestión de proyectos.  · Consultoría especializada en tecnologías de la información y las comunicaciones.  · Gestión de proveedores de desarrollo e implantación de sistemas de información.  · Diseño y mejora de procesos, aplicación de modelos de madurez, gestión de calidad.  · Implantación de métricas y cuadros de mando relacionados con la implantación de sistemas de información y el desarrollo de servicios.  · Implantación de herramientas de gestión de proyectos y gestión documental.  · Gestión de relaciones con clientes y proveedores en el ámbito de las tecnologías de la información y las comunicaciones.  · Definición, implementación y aplicación de procedimientos, normativas y control de calidad en proyectos de tecnologías de la información y/o telecomunicaciones  · Estándares de calidad y metodologías  · Metodologías de gestión de proyectos y de gestión de servicios TIC     OFRECEMOS     · Orientación a objetivos y reconocimiento al trabajo  · Plan de inmersión y plan de formación en base a los objetivos de la compañía y las necesidades de la persona  · Crecimiento profesional y mejora continua  · Cultura de promoción interna de nuestro equipo  · Programa de incentivos laborales y beneficios de empresa  · Formar parte de un equipo de personas dinámicas, en un entorno estable y con un claro compromiso por el cumplimiento de sus objetivos.     REQUISITOS PARA INCORPORARSE:     · Titulación: Imprescindible aportar Titulación Universitaria o Grado.     · Experiencia: Como mínimo 2 años de experiencia en gestión o ejecución de proyectos de tecnologías de la información, proyectos de software, proyectos de innovación o proyectos en mejora de procesos.     · Conocimientos avanzados en MS Office Project, MS Office Excel, MS Office PowerPoint, MS Office Word. Se valorarán positivamente conocimientos en herramientas JIRA, TRELLO, SVN, Alfresco, SAP Business Objects y Pentaho.     · Experiencia trabajando con metodología Agiles     · Se valorará positivamente acreditar certificaciones en PMP (Project Management Professional), CAPM (Certified Associate in Project Management), CSM (Certified ScrumMaster), Prince2 Foundation, Prince2 Practicioner, ITIL Practitioner, ITIL Master, así como cualquier acreditación en el modelo CMMi.     · Actitudes: Buscamos personas con alta capacidad de aprendizaje, interés en la tecnología y la innovación, atención al detalle, buenas habilidades comunicativas, capacidad de negociación, orientación a cliente y a objetivos, y con capacidad de trabajar en entornos de alta confidencialidad y seguridad.  Show more ;presentacion compañia y proyectos     implemental systems es una consultora tecnologica internacional con mas de  años de experiencia en la gestion de procesos de transformacion digital, implantacion de tecnologias innovadoras y disruptivas, y haciendo realidad estrategias de agendas digitales en mas de  paises     en nuestra division pmo internacional ofrecemos un modelo diferencial de gestion de proyectos basado en una metodologia propia, las mejores practicas y el uso de la tecnologia mas innovadora para garantizar, a nuestros clientes, un timetomarket optimizado y la mayor calidad en los resultados     descripcion de empleo     buscamos personas para trabajar en nuestra division pmo, con una experiencia requerida a partir de  años en gestion de proyectos de tecnologia e innovacion tenemos varias posiciones abiertas, si cumples con los requisitos no dudes en contactarnos     area de conocimiento     se requiere experiencia en alguna de las areas de conocimiento siguientes      gestion de proyectos de tecnologias de la informacion y telecomunicaciones   ejecucion de proyectos de tecnologias de la informacion y telecomunicaciones   analisis, modificacion y desarrollo de documentacion y procedimientos de gestion de proyectos   consultoria especializada en tecnologias de la informacion y las comunicaciones   gestion de proveedores de desarrollo e implantacion de sistemas de informacion   diseño y mejora de procesos, aplicacion de modelos de madurez, gestion de calidad   implantacion de metricas y cuadros de mando relacionados con la implantacion de sistemas de informacion y el desarrollo de servicios   implantacion de herramientas de gestion de proyectos y gestion documental   gestion de relaciones con clientes y proveedores en el ambito de las tecnologias de la informacion y las comunicaciones   definicion, implementacion y aplicacion de procedimientos, normativas y control de calidad en proyectos de tecnologias de la informacion yo telecomunicaciones   estandares de calidad y metodologias   metodologias de gestion de proyectos y de gestion de servicios tic     ofrecemos      orientacion a objetivos y reconocimiento al trabajo   plan de inmersion y plan de formacion en base a los objetivos de la compañia y las necesidades de la persona   crecimiento profesional y mejora continua   cultura de promocion interna de nuestro equipo   programa de incentivos laborales y beneficios de empresa   formar parte de un equipo de personas dinamicas, en un entorno estable y con un claro compromiso por el cumplimiento de sus objetivos     requisitos para incorporarse      titulacion imprescindible aportar titulacion universitaria o grado      experiencia como minimo  años de experiencia en gestion o ejecucion de proyectos de tecnologias de la informacion, proyectos de software, proyectos de innovacion o proyectos en mejora de procesos      conocimientos avanzados en ms office project, ms office excel, ms office powerpoint, ms office word se valoraran positivamente conocimientos en herramientas jira, trello, svn, alfresco, sap business objects y pentaho      experiencia trabajando con metodologia agiles      se valorara positivamente acreditar certificaciones en pmp (project management professional), capm (certified associate in project management), csm (certified scrummaster), prince foundation, prince practicioner, itil practitioner, itil master, asi como cualquier acreditacion en el modelo cmmi      actitudes buscamos personas con alta capacidad de aprendizaje, interes en la tecnologia y la innovacion, atencion al detalle, buenas habilidades comunicativas, capacidad de negociacion, orientacion a cliente y a objetivos, y con capacidad de trabajar en entornos de alta confidencialidad y seguridad  show more ;['y haciendo realidad estrategias de agendas digitales en mas de  paises     en nuestra division pmo internacional ofrecemos un modelo diferencial de gestion de proyectos basado en una metodologia propia', 'si cumples con los requisitos no dudes en contactarnos     area de conocimiento     se requiere experiencia en alguna de las areas de conocimiento siguientes      gestion de proyectos de tecnologias de la informacion y telecomunicaciones   ejecucion de proyectos de tecnologias de la informacion y telecomunicaciones   analisis', 'gestion de calidad   implantacion de metricas y cuadros de mando relacionados con la implantacion de sistemas de informacion y el desarrollo de servicios   implantacion de herramientas de gestion de proyectos y gestion documental   gestion de relaciones con clientes y proveedores en el ambito de las tecnologias de la informacion y las comunicaciones   definicion', 'normativas y control de calidad en proyectos de tecnologias de la informacion yo telecomunicaciones   estandares de calidad y metodologias   metodologias de gestion de proyectos y de gestion de servicios tic     ofrecemos      orientacion a objetivos y reconocimiento al trabajo   plan de inmersion y plan de formacion en base a los objetivos de la compañia y las necesidades de la persona   crecimiento profesional y mejora continua   cultura de promocion interna de nuestro equipo   programa de incentivos laborales y beneficios de empresa   formar parte de un equipo de personas dinamicas', 'proyectos de innovacion o proyectos en mejora de procesos      conocimientos avanzados en ms office project', 'ms office word se valoraran positivamente conocimientos en herramientas jira', 'sap business objects y pentaho      experiencia trabajando con metodologia agiles      se valorara positivamente acreditar certificaciones en pmp (project management professional)']
analista funcional;18;¿Tenes ganas de trabajar en una empresa innovadora, humana y en franco crecimiento? 👉🏼 En Enta Consulting estamos en la búsqueda de analistas funcionales jr para que se sumen al equipo.   Requisitos   Estudiantes intermedios o avanzados de Licenciatura en Sistemas de Información, Licenciatura en Administración, Analista en Sistemas o afines. Capacidad analítica, iniciativa y capacidad de resolución de problemas. Capacidad de trabajar en equipo, con buen manejo de las relaciones interpersonales, estando dispuesto a compartir información y conocimientos con sus compañeros de trabajo. Escucha activa, empatía, comunicación asertiva y capacidad de generar relaciones de trabajo profesionales positivas con el equipo de trabajo y clientes. Conocimientos de procesos de negocios (Deseable). Inglés (Deseable).  Beneficios  Trabajo en relación de dependencia Prepaga Galeno Clases de inglés In Company Trabajo 100% remoto Flexibilidad para trabajar en horario diferente por necesidades puntuales o compromisos personales Días habiles de vacaciones Día libre de cumpleaños Después de los 3 años la compu es tuya Asignación para comprar artículos de oficina para líderes después de 1 año en ENTA Acceso a cursos de la Plataforma Udemy, para líderes Reintegro de internet hasta $1.800  Jornada laboral Trabajo Part time (lunes a viernes 6 horas diarias) o Full time  ¡Sumate a Enta!  Si te apasiona la tecnología y la creatividad aplicada a los procesos de negocios, tenés la oportunidad de ser parte de un equipo que impulsa el cambio en las organizaciones más importantes de América y lidera la transformación tecnológica.  Forma parte de una empresa consolidada y en expansión, que se especializa en la creación de soluciones de negocios aplicando combinaciones únicas de tecnología, metodologías e información. Show more ;tenes ganas de trabajar en una empresa innovadora, humana y en franco crecimiento  en enta consulting estamos en la busqueda de analistas funcionales jr para que se sumen al equipo   requisitos   estudiantes intermedios o avanzados de licenciatura en sistemas de informacion, licenciatura en administracion, analista en sistemas o afines capacidad analitica, iniciativa y capacidad de resolucion de problemas capacidad de trabajar en equipo, con buen manejo de las relaciones interpersonales, estando dispuesto a compartir informacion y conocimientos con sus compañeros de trabajo escucha activa, empatia, comunicacion asertiva y capacidad de generar relaciones de trabajo profesionales positivas con el equipo de trabajo y clientes conocimientos de procesos de negocios (deseable) ingles (deseable)  beneficios  trabajo en relacion de dependencia prepaga galeno clases de ingles in company trabajo  remoto flexibilidad para trabajar en horario diferente por necesidades puntuales o compromisos personales dias habiles de vacaciones dia libre de cumpleaños despues de los  años la compu es tuya asignacion para comprar articulos de oficina para lideres despues de  año en enta acceso a cursos de la plataforma udemy, para lideres reintegro de internet hasta   jornada laboral trabajo part time (lunes a viernes  horas diarias) o full time  sumate a enta  si te apasiona la tecnologia y la creatividad aplicada a los procesos de negocios, tenes la oportunidad de ser parte de un equipo que impulsa el cambio en las organizaciones mas importantes de america y lidera la transformacion tecnologica  forma parte de una empresa consolidada y en expansion, que se especializa en la creacion de soluciones de negocios aplicando combinaciones unicas de tecnologia, metodologias e informacion show more ;['con buen manejo de las relaciones interpersonales', 'estando dispuesto a compartir informacion y conocimientos con sus compañeros de trabajo escucha activa', 'comunicacion asertiva y capacidad de generar relaciones de trabajo profesionales positivas con el equipo de trabajo y clientes conocimientos de procesos de negocios (deseable) ingles (deseable)  beneficios  trabajo en relacion de dependencia prepaga galeno clases de ingles in company trabajo  remoto flexibilidad para trabajar en horario diferente por necesidades puntuales o compromisos personales dias habiles de vacaciones dia libre de cumpleaños despues de los  años la compu es tuya asignacion para comprar articulos de oficina para lideres despues de  año en enta acceso a cursos de la plataforma udemy', 'metodologias e informacion show more ']
auxiliar ingenieria;16;Amarilo requiere para su equipo de trabajo en BOGOTA AUXILIAR DE INGENIERIA, profesional en Ingeniería Civil o Arquitectura con deseable experiencia de seis meses en ejecución de obra;amarilo requiere para su equipo de trabajo en bogota auxiliar de ingenieria, profesional en ingenieria civil o arquitectura con deseable experiencia de seis meses en ejecucion de obra;[]
jefe informatica;16;Funciones.  Administrar el centro de cómputo. Instalar, configurar y administrar las redes de computadoras. Implementar soluciones integrales de cómputo de la organización. Definir propuestas de creación desarrollo y modificación de los  sistemas de información.  Realizar inventario de recursos de la totalidad de los sistemas de  información.  Analizar las necesidades de Hardware. Elaborar los expedientes de la adquisición de bienes y servicios  informáticos.  Proponer y coordinar el desarrollo, mejora y optimización continua de  los sistemas de información y estándares de calidad.  Definir políticas y estándares de seguridad de la información. Planificar, diseñar, ejecutar y monitorear la estrategia de tecnologías  de información de la entidad.  Proporcionar formación, apoyo y asesoramiento a los usuarios. Asesora a la alta dirección en la adquisición, implementación y desarrollo de  toda la tecnología de la empresa.  Desarrollar e implementar las políticas y protocolos de tecnología en la empresa.   Requisitos   Habilidades y conocimientos.  Debe de contar con una excelente capacidad de comunicación, un liderazgo ante los proyectos, así como también buenas relaciones interpersonales, habilidades analíticas y de toma decisiones, buen planeamiento y organización tanto en el tiempo como en la realización de las tareas. Debe de ser una persona adaptable y flexible  Beneficios  Seguro privado, plan de telefonía, y todos los de la ley.  Objetivos del Puesto.  Gestionar técnica y administrar los recursos de información que manejen los sistemas computacionales de la empresa, manteniéndolos actualizados y acordes a los cambios en los procesos que cada unidad lleva acabo. Show more ;funciones  administrar el centro de computo instalar, configurar y administrar las redes de computadoras implementar soluciones integrales de computo de la organizacion definir propuestas de creacion desarrollo y modificacion de los  sistemas de informacion  realizar inventario de recursos de la totalidad de los sistemas de  informacion  analizar las necesidades de hardware elaborar los expedientes de la adquisicion de bienes y servicios  informaticos  proponer y coordinar el desarrollo, mejora y optimizacion continua de  los sistemas de informacion y estandares de calidad  definir politicas y estandares de seguridad de la informacion planificar, diseñar, ejecutar y monitorear la estrategia de tecnologias  de informacion de la entidad  proporcionar formacion, apoyo y asesoramiento a los usuarios asesora a la alta direccion en la adquisicion, implementacion y desarrollo de  toda la tecnologia de la empresa  desarrollar e implementar las politicas y protocolos de tecnologia en la empresa   requisitos   habilidades y conocimientos  debe de contar con una excelente capacidad de comunicacion, un liderazgo ante los proyectos, asi como tambien buenas relaciones interpersonales, habilidades analiticas y de toma decisiones, buen planeamiento y organizacion tanto en el tiempo como en la realizacion de las tareas debe de ser una persona adaptable y flexible  beneficios  seguro privado, plan de telefonia, y todos los de la ley  objetivos del puesto  gestionar tecnica y administrar los recursos de informacion que manejen los sistemas computacionales de la empresa, manteniendolos actualizados y acordes a los cambios en los procesos que cada unidad lleva acabo show more ;['implementacion y desarrollo de  toda la tecnologia de la empresa  desarrollar e implementar las politicas y protocolos de tecnologia en la empresa   requisitos   habilidades y conocimientos  debe de contar con una excelente capacidad de comunicacion']
gerente tecnologia encripcion;12;Job Id: 22525366  El analista sénior de Negocios de TI es un puesto de nivel intermedio responsable de establecer una conexión entre los usuarios de negocio y expertos en tecnología para intercambiar información de manera concisa, lógica y comprensible junto con el equipo de Tecnología. El objetivo general de este puesto es contribuir a la exploración e investigación iterativa continua del rendimiento de negocio y otras medidas para obtener una mejor perspectiva e impulsar la planificación del negocio.  Responsabilidades:  Formular y definir el alcance de sistemas y objetivos para proyectos complejos, y promover la comunicación entre líderes del negocio y TI. Consultar con usuarios y clientes para resolver problemas complejos de los sistemas a través de una evaluación profunda de los procesos de negocio, sistemas y normas de la industria, y recomendar soluciones. Respaldar procesos de cambios del sistema, desde los requisitos hasta la implementación, y realizar aportes en función del análisis de la información. Consultar con clientes de negocio para determinar las especificaciones funcionales del sistema y ofrecer respaldo operativo y a usuarios. Identificar y comunicar los riesgos e impactos, teniendo en cuenta las consecuencias de negocio de la aplicación tecnológica en el ambiente de negocio actual. Desempeñarse como asesor o instructor de analistas nuevos o de un nivel inferior y trabajar en equipo para lograr objetivos del negocio;job id   el analista senior de negocios de ti es un puesto de nivel intermedio responsable de establecer una conexion entre los usuarios de negocio y expertos en tecnologia para intercambiar informacion de manera concisa, logica y comprensible junto con el equipo de tecnologia el objetivo general de este puesto es contribuir a la exploracion e investigacion iterativa continua del rendimiento de negocio y otras medidas para obtener una mejor perspectiva e impulsar la planificacion del negocio  responsabilidades  formular y definir el alcance de sistemas y objetivos para proyectos complejos, y promover la comunicacion entre lideres del negocio y ti consultar con usuarios y clientes para resolver problemas complejos de los sistemas a traves de una evaluacion profunda de los procesos de negocio, sistemas y normas de la industria, y recomendar soluciones respaldar procesos de cambios del sistema, desde los requisitos hasta la implementacion, y realizar aportes en funcion del analisis de la informacion consultar con clientes de negocio para determinar las especificaciones funcionales del sistema y ofrecer respaldo operativo y a usuarios identificar y comunicar los riesgos e impactos, teniendo en cuenta las consecuencias de negocio de la aplicacion tecnologica en el ambiente de negocio actual desempeñarse como asesor o instructor de analistas nuevos o de un nivel inferior y trabajar en equipo para lograr objetivos del negocio;[]
