index;file;ts;esco;onto;value;type
7;f9;2022-11-29T18:32:43;http://data.europa.eu/esco/isco/C11;http://ti-2022-11-2918:12:32.586072.org/onto#11;0.99;INST
175;f9;2022-11-29T18:44:17;http://data.europa.eu/esco/isco/C11;http://ti-2022-11-2918:12:32.586072.org/onto#11;0.99;INST
34;f15;2022-11-29T18:44:54;http://data.europa.eu/esco/isco/C112;http://ti-2022-11-2918:12:32.586072.org/onto#112;1.0;INST
262;f16;2022-11-29T18:44:59;http://data.europa.eu/esco/isco/C1120;http://ti-2022-11-2918:12:32.586072.org/onto#112;1.0;INST
65;f1712;2022-11-29T22:09:21;http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890;http://ti-2022-11-2918:12:32.586072.org/onto#112a;0.87;INST
82;f1931;2022-11-29T22:38:10;http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5;http://ti-2022-11-2918:12:32.586072.org/onto#112a;0.94;INST
77;f17;2022-11-29T18:45:04;http://data.europa.eu/esco/isco/C12;http://ti-2022-11-2918:12:32.586072.org/onto#12;1.0;INST
191;f18;2022-11-29T18:45:10;http://data.europa.eu/esco/isco/C121;http://ti-2022-11-2918:12:32.586072.org/onto#121;1.0;INST
151;f19;2022-11-29T18:45:15;http://data.europa.eu/esco/isco/C1211;http://ti-2022-11-2918:12:32.586072.org/onto#1211;1.0;INST
63;f952;2022-11-29T20:29:00;http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f;http://ti-2022-11-2918:12:32.586072.org/onto#1211;0.95;INST
55;f20;2022-11-29T18:45:20;http://data.europa.eu/esco/isco/C1212;http://ti-2022-11-2918:12:32.586072.org/onto#1212;1.0;INST
185;f2249;2022-11-29T23:20:07;http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77;http://ti-2022-11-2918:12:32.586072.org/onto#1212;0.98;INST
273;f3095;2022-11-30T01:14:39;http://data.europa.eu/esco/occupation/9f12704c-5e6c-47b0-a866-3b92663e6a4b;http://ti-2022-11-2918:12:32.586072.org/onto#1212;0.88;INST
237;f21;2022-11-29T18:45:25;http://data.europa.eu/esco/isco/C1213;http://ti-2022-11-2918:12:32.586072.org/onto#1213;1.0;INST
247;f22;2022-11-29T18:45:31;http://data.europa.eu/esco/isco/C1219;http://ti-2022-11-2918:12:32.586072.org/onto#1219;1.0;INST
174;f23;2022-11-29T18:45:36;http://data.europa.eu/esco/isco/C122;http://ti-2022-11-2918:12:32.586072.org/onto#1221;0.89;INST
133;f24;2022-11-29T18:45:42;http://data.europa.eu/esco/isco/C1221;http://ti-2022-11-2918:12:32.586072.org/onto#1221;1.0;INST
79;f1945;2022-11-29T22:39:55;http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134;http://ti-2022-11-2918:12:32.586072.org/onto#1222;0.89;INST
178;f2026;2022-11-29T22:50:31;http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b;http://ti-2022-11-2918:12:32.586072.org/onto#1222;0.88;INST
234;f25;2022-11-29T18:45:47;http://data.europa.eu/esco/isco/C1222;http://ti-2022-11-2918:12:32.586072.org/onto#1222;1.0;INST
45;f2865;2022-11-30T00:43:19;http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2;http://ti-2022-11-2918:12:32.586072.org/onto#1222;0.89;INST
88;f1410;2022-11-29T21:29:16;http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440;http://ti-2022-11-2918:12:32.586072.org/onto#1223;0.98;INST
220;f26;2022-11-29T18:45:53;http://data.europa.eu/esco/isco/C1223;http://ti-2022-11-2918:12:32.586072.org/onto#1223;1.0;INST
